No,Wolof,Français,Traduction,Score_Final
38,Ñaata lay jar ?,Combien ça coûte ?,Qu'est-ce que tu fais ?,0.350
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,Où est-ce que tu vas ?,0.392
40,Seer na lool,C'est très cher,Mangeons.,0.222
41,Wagniil mako,Diminue moi ça,Mon frère.,0.573
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Comment allez-vous ?,0.374
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Où vas-tu ?,0.295
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,Bienvenue chez vous.,0.305
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,Je ne comprends pas ce que tu dis.,0.468
46,Dama nékone daara dja,J'étais à l'école,Il n'y a plus de place.,0.391
47,Damay saakou xam-xam,Je suis à la quête de connaissance,Je suis très content.,0.609
48,Nianal ma !,Prie pour moi !,Mangeons !,0.286
49,Témérri Diouni,Cent milles,Louange à Dieu.,0.427
50,Damala beug,Je t'aime,Bonjour à tous.,0.256
51,Dama gueuméntou,J'ai sommeil,Je suis fatigué(e).,0.455
52,Dama beug nelaw,Je veux dormir,Il est très beau.,0.378
53,Fane nga dieum ni ?,Où vas-tu ?,Que fais-tu ?,0.455
54,Nélaww gua bou baxx ?,as tu bien dormi ?,Que fais-tu ?,0.359
55,Testou sansement bant yi,Test des mises à jours des branches,Trouvez-les soigneusement.,0.362
56,Yalla baxna,ça ira,"Allez, partons.",0.275
57,fane yi dara doxoul,Rien ne marche ces temps-ci,Je suis très content/e.,0.364
58,Dieureudieuf,Merci,Merci.,1.000
59,Touti,un peu,Tout.,0.400
60,Kay,viens,Oui.,0.375
61,Kay Agne,viens manger,Bonjour.,0.266
62,Damay touki,je voyage,Je suis fatigué(e).,0.400
63,Bokk na,Je participe,Nous sommes.,0.293
64,Dama beugue diangue.,J'aime les études.,J'aime beaucoup manger.,0.547
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,Nous sommes rentrés à la maison.,0.416
66,Ab paaka la yore.,Il a un couteau sur lui.,Il est parti hier.,0.391
67,Dama khiff.,J'ai faim.,Je suis fatigué(e).,0.502
68,Dama ame ndadjé.,J'ai un rendez-vous.,Je suis fatigué(e).,0.427
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,Je suis fatigué(e).,0.294
70,Awa diangue Kate la.,Awa est un bon élève,Awa est plus belle que Kate.,0.597
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,Mon frère aîné est très riche.,0.459
72,Beugouma carote.,Je n'aime pas les carottes.,Mangeons des carottes.,0.523
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,Je vais au marché avec Médoune.,0.666
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,Ma mère prépare des pommes.,0.820
75,Dama taxaw!,Je suis debout!,Ça suffit !,0.427
76,Beugouma,Je n'aime pas,Bonjour.,0.158
77,Maa ngi dem,Je m’en vais,Je te remercie.,0.398
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,C'est grâce à Dieu.,0.437
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,La maison est grande et bien aménagée.,0.338
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,Je suis très fatigué(e).,0.292
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,J'ai beaucoup de soucis.,0.429
82,Daay fay!,Ca paye!,Bonjour !,0.100
83,Ko yaab iow!,Tu qui on se moques là,Bonjour !,0.173
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Je suis très fatigué(e) !,0.328
85,Dama taxaw!,Je suis debout!,Bonjour !,0.325
86,Dama invité sama gel,J'ai invité ma petite copine,J'ai invité mon ami.,0.605
87,Yomb na,C’est très bon marché,Bonjour.,0.214
88,Bare na,C’est trop cher,Ça va.,0.067
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,C'est grâce à Dieu.,0.437
90,Degg nga Français,Parlez-vous Français,Parlez français.,0.812
91,Deedeet jërëjëf,Non merci,Il pleut.,0.170
92,Amul solo,De rien,Je suis fatigué(e).,0.333
93,Niokobok,Je vous en prie,Merci.,0.511
94,Li lan la,Qu’est-ce que c’est ?,Il est là.,0.551
95,Dema fe ñëw wakansu,Je suis ici en vacances,Nous allons en vacances.,0.456
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Je suis fatigué(e).,0.496
97,Demay Xool rek,Je ne fais que regarder,Il pleut.,0.171
98,Dama bëgga dem,Je voudrais aller,Je suis fatigué(e).,0.483
99,Ndax mën naa fi luwe,Je voudrais louer,Je ne sais pas où aller.,0.465
100,Neex na torop,C’était délicieux,Il fait très chaud.,0.397
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Comment allez-vous ?,0.360
102,Du ma lek yapp,Je suis végétarien,Je ne sais pas.,0.496
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),J'ai beaucoup mangé.,0.365
104,Tang na,C’est trop chaud,Bonjour.,0.148
105,Sama yaram nangu wu ko,Je suis allergique,Je n'ai rien mangé.,0.341
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Je ne sais pas ce que je mange.,0.307
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,J'ai mal à la tête.,0.449
108,Wootel doctor,Appelez un médecin,Appelez un docteur.,0.650
109,Ana hoppital ?,Où est l’hôpital ?,Je vais à l'hôpital.,0.433
110,Dama feebar,Je ne me sens pas très bien,Je suis fatigué(e).,0.273
111,Fi moy meeti,J’ai mal ici,Je suis fatigué(e).,0.327
112,Ana wanak wi ?,Où sont les toilettes ?,Où vas-tu ?,0.513
113,Wollu !,A l’aide !,Bonjour !,0.100
114,Dema reer,Je suis perdu(e),Bonjour.,0.217
115,sama Dom leuh,c'est mon fils,Ça va ?,0.067
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,Désolé.,0.200
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Pardon.,0.433
120,Mayma ndox,Donne moi de l'eau,Il fait très chaud.,0.417
121,Dama feebar,Je suis malade,Je suis fatigué(e).,0.650
122,Maa ngi dem marse,Je pars au marché,Je suis fatigué(e).,0.387
123,Loy def ?,Tu fais quoi ?,Qu'est-ce que c'est ?,0.421
124,Dama jaxasoo,Je suis confus,Je suis fatigué(e).,0.690
125,Maa ngi ci buro bi,Je suis au bureau,Je suis un peu fatigué(e).,0.583
126,Dama sedd,J'ai froid,Il est parti.,0.515
127,Dama tàng,J'ai chaud,Il fait chaud.,0.750
128,Dafa tàng,Il fait chaud,Merci beaucoup.,0.385
129,Dafa sedd,Il fait froid,Ça va.,0.217
130,Mu ngi taw,Il pleut,Je suis fatigué(e).,0.256
131,Jamonoy taw la!,C'est la saison des pluies!,Bonjour à tous !,0.357
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,Le temps est devenu agréable.,0.531
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,La beauté de Dakar est incontestable.,0.522
134,Danu wara wut pexe,Nous devons trouver un plan,Nous allons travailler ensemble.,0.547
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Je ne comprends pas ce que tu dis.,0.376
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,Ils se sont disputés.,0.390
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,Je suis avec X.,0.495
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Combien de temps vas-tu rester ?,0.501
