No,Wolof,Français,Traduction,Score_Final
86,Dama invité sama gel,J'ai invité ma petite copine,Je vais inviter mon ami.,0.546
87,Yomb na,C’est très bon marché,Rentre,0.258
88,Bare na,C’est trop cher,J'ai travaillé.,0.277
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"""L'année prochaine, si Dieu le veut.""",0.800
90,Degg nga Français,Parlez-vous Français,Parle français.,0.783
91,Deedeet jërëjëf,Non merci,La vie est courte.,0.299
92,Amul solo,De rien,Reste tranquille,0.411
93,Niokobok,Je vous en prie,Je suis d'accord.,0.275
94,Li lan la,Qu’est-ce que c’est ?,"""Ici"" ou ""C'est ici"".",0.627
95,Dema fe ñëw wakansu,Je suis ici en vacances,Je vais bien voir,0.500
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Tu dois rester ici pour le moment.,0.572
97,Demay Xool rek,Je ne fais que regarder,Je vais bien,0.369
98,Dama bëgga dem,Je voudrais aller,"""Je veux partir.""

Traduction :
- Dama : je veux
- bëgga : partir
- dem : aller",0.511
99,Ndax mën naa fi luwe,Je voudrais louer,Je ne sais pas nager.,0.415
100,Neex na torop,C’était délicieux,J'ai un mal de tête.,0.347
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Où vas-tu ?,0.229
102,Du ma lek yapp,Je suis végétarien,"""Je veux dormir""",0.387
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),"""J'ai envie de dormir""",0.398
104,Tang na,C’est trop chaud,"""Asseyez-vous""

""Tang na"" en wolof signifie ""asseyez-vous"" en français. C'est une phrase impérative utilisée pour inviter quelqu'un à s'asseoir.",0.446
105,Sama yaram nangu wu ko,Je suis allergique,Ma cuisine est derrière la maison.,0.426
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Je ne trouve pas ma maison,0.345
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,J'ai besoin de voir un docteur,0.806
108,Wootel doctor,Appelez un médecin,Je dois voir un docteur,0.311
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,Ma maison,0.323
111,Fi moy meeti,J’ai mal ici,Reste tranquille,0.313
112,Ana wanak wi ?,Où sont les toilettes ?,"""Où vas-tu ?""",0.513
113,Wollu !,A l’aide !,Salut !,0.287
114,Dema reer,Je suis perdu(e),Rentre à la maison,0.515
115,sama Dom leuh,c'est mon fils,Ma famille est parti,0.571
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,D'accord,0.200
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Pardon,0.433
120,Mayma ndox,Donne moi de l'eau,Je comprends,0.175
121,Dama feebar,Je suis malade,Ma confiance,0.429
122,Maa ngi dem marse,Je pars au marché,Je vais à Marseille,0.515
123,Loy def ?,Tu fais quoi ?,Comment ça va ?,0.380
124,Dama jaxasoo,Je suis confus,Je ne comprends pas,0.420
125,Maa ngi ci buro bi,Je suis au bureau,Je suis dans la chambre,0.712
126,Dama sedd,J'ai froid,Ma confiance,0.440
127,Dama tàng,J'ai chaud,"""C'est délicieux""",0.358
128,Dafa tàng,Il fait chaud,Je suis désolé,0.365
129,Dafa sedd,Il fait froid,"Cela veut dire ""Donne-moi l'argent""",0.315
130,Mu ngi taw,Il pleut,Je suis fatigué,0.256
131,Jamonoy taw la!,C'est la saison des pluies!,C'est délicieux !,0.507
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,La personne qui devait venir est arrivée tard.,0.461
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les habitants de Dakar sont fatigués à cause de la chaleur.,0.692
134,Danu wara wut pexe,Nous devons trouver un plan,Je ne comprends pas.,0.454
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Je ne veux plus rester dans cette maison.,0.498
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,"""Il est allé à la plage.""",0.386
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,J'ai passé la journée avec X.,0.656
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Peux-tu me donner mon chapeau ?,0.539
