No,Wolof,Français,Traduction,Score_Final
12,Dama la sokhla,J'ai besoin de toi,"Voici la traduction : ""Je m'appelle Sokhna"" ou plus exactement ""Je suis Sokhna"" (dépendant du contexte, ""Dama"" peut être traduit par ""je suis"" ou ""je m'appelle""). Cependant, une traduction plus précise serait ""Je suis Sokhna"" (en déclarant son nom ou son identité). Mais si vous voulez dire ""Je m'appelle Sokhla"" en wolof, la phrase correcte serait ""Ma ngi def sokhla"" ou ""Dama la sokhna"" si ""sokhla"" est un prénom féminin. 

Cependant, si ""Dama la sokhla"" doit être traduit de manière littérale, ""Dama"" pourrait signifier ""Je suis"" et ""la"" signifie ""le"" ou ""la"" (article), donc ""Dama la sokhla"" pourrait être traduit par ""Je suis la Sokhla"" si ""Sokhla"" est un titre, un surnom, un nom de famille ou un prénom féminin, avec cette fois un ""la"" qui joue le rôle d'un article défini. 

Donc, la meilleure traduction possible serait ""Je suis la Sokhla"".",0.428
13,Dama khiff,J'ai faim,Je ne sais pas.,0.508
14,Dama marr,J'ai soif,Bonjour à vous,0.234
15,Mangui joko si leund mi,Je me connecte sur le web,Je mange du riz aujourd'hui.,0.463
16,Dama beug lou jeum si waloum xarala,J'adore la Technologie,"Alors, je vais traduire cette phrase du Wolof en Français :

""Dama beug lou jeum si waloum xarala"" signifie ""Je vais mettre fin à la famine en rassemblant mes brebis éparses"".",0.349
17,Dama beug ndekki,Je veux prendre un petit déjeuner,Je vais mourir de faim.,0.336
18,Dama beug Agne,Je veux prendre un déjeuner,Merci à Dieu,0.409
19,Dama beug rére,Je veux prendre un dîner,"Voici la traduction : ""Je vais aussi manger"" ou plus littéralement ""Moi aussi, j'ai faim"".",0.310
20,Damay takk jabar,Je vais me marier,"La traduction de ""Damay takk jabar"" en français est : ""Je ne peux pas résister"". Cependant, il est plus probable que la traduction soit : ""Je ne peux pas m'empêcher"" ou ""Je ne peux pas m'arrêter"", car ""damay"" signifie ""je"" ou ""moi"", ""takk"" signifie ""m'arrêter"" ou ""m'empêcher"", et ""jabar"" signifie ""résister"" ou ""s'arrêter"". 

Mais dans le contexte Wolof, ""damay takk jabar"" peut signifier ""Je ne peux pas m'empêcher"" de faire quelque chose. Pour plus de précision, il faudrait avoir le contexte dans lequel cette phrase a été utilisée.",0.468
21,Mayma khaliss,Donne moi de l'argent,"Je suis prêt. La phrase ""Mayma khaliss"" pourrait se traduire en français par ""Rien n'est pur"" ou ""Rien n'est parfait"".",0.356
22,Bane wakhtu mo joot ?,Quelle heure fait-il ?,Qu'est-ce que tu as fait hier ?,0.618
23,Dama sonne,Je suis fatigué,"Je ne suis pas sûr de la traduction exacte de ""Dama sonne"" car ""dama"" peut avoir plusieurs significations en wolof. Cependant, si ""dama"" signifie ""nom"" ou ""appel"", alors la traduction pourrait être :

""Son nom est appelé"" ou ""Il/Elle est appelé(e)"" 

Mais si vous pourriez fournir plus de contexte, je pourrais peut-être vous fournir une traduction plus précise.",0.492
24,Bu la neexee,S’il vous plaît,Je suis fatigué.,0.517
25,Amul sólo,Je vous en prie,C'est demain,0.275
26,Kay niou dem,Viens on y va,Qu'est-ce que c'est ?,0.228
27,Jéggël ma,Excusez-moi,Je m'appelle,0.356
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Qu'est-ce que vous voulez ?,0.318
29,Dégg nga ?,Comprenez-vous ?,Comment vas-tu ?,0.450
30,Dégg naa,Je comprends,"Bonjour à vous (littéralement ""je vous salue"") ou plus simplement ""bonjour""",0.328
31,Dégguma,Je ne comprends pas,Bonjour,0.177
32,Nanga tudd ?,Quel est ton nom ?,Comment ça va ?,0.307
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,Comment allez-vous ?,0.398
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,Qu'est-ce qu'il y a au Sandaga ?,0.499
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,Comment vas-tu aujourd'hui ?,0.428
36,Neexoon na,C'était bon,Que dies-tu ?,0.258
37,Mi ngi ci jàmm,Il/Elle va bien,Je m'appelle ainsi.,0.437
38,Ñaata lay jar ?,Combien ça coûte ?,Comment allez-vous ?,0.625
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,Comment allez-vous ?,0.567
40,Seer na lool,C'est très cher,Je suis fatigué.,0.250
41,Wagniil mako,Diminue moi ça,Bonjour à toi.,0.533
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Comment ça va ?,0.374
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Comment allez-vous ?,0.379
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,"Demain, je vais à la mosquée pour la prière.",0.439
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,"Je suis prêt à traduire. La phrase ""Dama nieuwone indil leu sa khaliss"" se traduit en français par ""Je vais les aider à résoudre leur problème"".",0.396
46,Dama nékone daara dja,J'étais à l'école,Je suis allé à l'école hier.,0.590
47,Damay saakou xam-xam,Je suis à la quête de connaissance,Je suis fatigué de manger du riz.,0.513
48,Nianal ma !,Prie pour moi !,Bienvenue !,0.266
49,Témérri Diouni,Cent milles,La charité est belle,0.524
50,Damala beug,Je t'aime,"Damala beug signifie ""Je vais manger"" en français.",0.344
51,Dama gueuméntou,J'ai sommeil,"La traduction de ""Dama gueuméntou"" en français est : ""Mangeons ensemble"".",0.324
52,Dama beug nelaw,Je veux dormir,J'ai faim ce soir,0.343
53,Fane nga dieum ni ?,Où vas-tu ?,Comment vas-tu ?,0.628
54,Nélaww gua bou baxx ?,as tu bien dormi ?,Qu'est-ce que vous avez dit ?,0.411
55,Testou sansement bant yi,Test des mises à jours des branches,"Je ne parle pas le Wolof, mais d'après mes connaissances limitées, ""Testou sansement bant yi"" pourrait se traduire par ""Je vous aime tous"". La phrase ""Testou"" signifie ""Je vous aime"" ou ""Je t'aime"", ""sansement"" signifie ""fortement"" ou ""beaucoup"" et ""bant yi"" signifie ""tous"" ou ""vous tous"".",0.500
56,Yalla baxna,ça ira,"Allons-y, partons !",0.240
57,fane yi dara doxoul,Rien ne marche ces temps-ci,"La traduction de ""fane yi dara doxoul"" du Wolof au Français est : ""Le feu a détruit la maison"".",0.435
58,Dieureudieuf,Merci,"Je pense que ""Dieureudieuf"" est une façon de dire ""Merci"" ou ""Merci beaucoup"" en wolof, la traduction en français serait donc : ""Merci"".",0.713
59,Touti,un peu,"Touti signifie ""tout"" ou ""toutes choses"" en wolof, mais je pense que vous voulez probablement dire ""Waaw, touti"" qui signifie ""merci beaucoup"" en wolof. Si cela est correct, la traduction serait : 

Waaw, touti -> Merci beaucoup. 

Cependant, si vous parlez juste de ""Touti"" seul, cela signifie alors :

Touti -> Tout",0.405
60,Kay,viens,Bonjour,0.317
61,Kay Agne,viens manger,"Merci, et vous ? (Note : Kay Agne signifie ""Comment vas-tu ?"" en wolof)",0.400
62,Damay touki,je voyage,Bonjour à vous tous,0.240
63,Bokk na,Je participe,Je m'appelle,0.447
64,Dama beugue diangue.,J'aime les études.,La maison est très sale.,0.411
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,Je ne suis pas allé dans ce village.,0.411
66,Ab paaka la yore.,Il a un couteau sur lui.,Il est debout depuis hier.,0.361
67,Dama khiff.,J'ai faim.,Je suis fatigué.,0.531
68,Dama ame ndadjé.,J'ai un rendez-vous.,Je vais manger.,0.500
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,Je m'appelle Moma.,0.303
70,Awa diangue Kate la.,Awa est un bon élève,Awa aime Kate.,0.414
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,"Ce peut se traduire par : ""Demain, je vais rendre visite à mon père au village.""",0.449
72,Beugouma carote.,Je n'aime pas les carottes.,Je mange des carottes.,0.545
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,Je vais manger avec Médoune.,0.691
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,Demain je vais manger une pomme.,0.641
75,Dama taxaw!,Je suis debout!,"Bonjour ! (littéralement ""Que Dieu t'aide !"", mais utilisé comme une salutation amicale)",0.441
76,Beugouma,Je n'aime pas,Bonjour,0.158
77,Maa ngi dem,Je m’en vais,"Bonjour, comment ça va ? 

(Ou plus fidèlement à la phrase d'origine qui est une expression de salutation en wolof) : 

Je vais bien, et toi ?",0.587
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,Tous louent Dieu.,0.420
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,L'enseignant demande à l'élève de lire son exposé.,0.385
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,"La traduction de ""Ganaar du am faru siiru"" en français est : ""Les hommes sont venus pour voir le bébé"".",0.465
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,"Je pense qu'il y a une petite erreur dans votre phrase en wolof. La phrase correcte serait probablement ""Guy dana juru dég"" ou ""Guy dana juri deg"" si elle est issue d'un contexte spécifique.

Cependant, si nous devons traduire ""Guy dana juri dég"" telle quelle, la traduction en français pourrait être : ""Personne ne m'a rien donné"". 

Pouvez-vous fournir plus de contexte ou clarifier l'orthographe de la phrase ? Cela faciliterait la traduction.",0.414
82,Daay fay!,Ca paye!,Bonjour !,0.100
83,Ko yaab iow!,Tu qui on se moques là,Ça va bien !,0.241
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Je suis vraiment fatigué !,0.320
85,Dama taxaw!,Je suis debout!,"Voici la traduction : ""C'est très cher !""",0.320
86,Dama invité sama gel,J'ai invité ma petite copine,"Demain, je serai l'invité de sama gel.

Ou plus naturellement en français : 
Demain, j'irai chez Sama Gel en tant qu'invité.",0.506
87,Yomb na,C’est très bon marché,"Bonjour à vous (littéralement, mais plus couramment traduit par) : Bonjour.",0.428
88,Bare na,C’est trop cher,Bonjour à toi,0.376
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"""Que Dieu te bénisse""",0.460
90,Degg nga Français,Parlez-vous Français,"Bonjour, comment allez-vous ?",0.510
91,Deedeet jërëjëf,Non merci,"Bonjour, comment allez-vous ?",0.390
92,Amul solo,De rien,"La traduction de ""Amul solo"" en français est : ""Je m'appelle Solo"".",0.329
93,Niokobok,Je vous en prie,"La traduction de ""Niokobok"" en français est : ""Asseyons-nous"" ou ""Asseyez-vous"". Cependant, sans plus de contexte, il est difficile de donner une traduction plus précise. ""Nioko"" signifie généralement ""asseoir"" ou ""s'asseoir"" en wolof.",0.518
94,Li lan la,Qu’est-ce que c’est ?,C'est la vérité,0.561
95,Dema fe ñëw wakansu,Je suis ici en vacances,"Voici la traduction : ""Aujourd'hui, je vais aller à la plage""",0.508
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,"Aujourd'hui, je vais aller à la pêche.",0.461
97,Demay Xool rek,Je ne fais que regarder,"La traduction de ""Demay Xool rek"" en français est : ""Je connais l'école"".",0.409
98,Dama bëgga dem,Je voudrais aller,"La traduction de ""Dama bëgga dem"" en français est : ""Je vais voir mes amis"".",0.361
99,Ndax mën naa fi luwe,Je voudrais louer,Qu'est-ce que je fais ici ?,0.450
100,Neex na torop,C’était délicieux,Je me repose.,0.264
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Comment vas-tu ?,0.377
102,Du ma lek yapp,Je suis végétarien,Je ne suis pas à la maison.,0.581
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Bonne chance à moi.,0.361
104,Tang na,C’est trop chaud,Retournez ici,0.335
105,Sama yaram nangu wu ko,Je suis allergique,Je vais mourir de faim aujourd'hui.,0.380
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,"""Je n'ai pas trouvé ce que je cherche"" ou plus simplement ""Je n'ai rien trouvé"".",0.352
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,Je vais voir le docteur.,0.545
108,Wootel doctor,Appelez un médecin,"La traduction de ""Wootel doctor"" du Wolof vers le Français est : ""Je suis allé voir le docteur"".",0.328
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,"La traduction de ""Dama feebar"" en français est : ""Je suis fatigué"".",0.438
111,Fi moy meeti,J’ai mal ici,Je ne comprends pas (littéralement : Je ne sais pas),0.363
112,Ana wanak wi ?,Où sont les toilettes ?,Qu'est-ce que tu as fait ?,0.293
113,Wollu !,A l’aide !,Bonjour !,0.100
114,Dema reer,Je suis perdu(e),"La traduction de ""Dema reer"" en français est : ""Les enfants"". 

""Dema"" signifie ""enfants"" et ""reer"" signifie ""enfants"" ou ""les enfants"" dans une approche plus spécifique. Donc, la traduction est ""les enfants"".",0.277
115,sama Dom leuh,c'est mon fils,"Bonjour, comment allez-vous ?",0.492
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,Bonjour,0.387
118,Keur,Maison,"Le mot ""Keur"" en wolof peut être traduit par ""village"" en français.",0.336
119,Xalaat,Penser,Bonjour,0.415
120,Mayma ndox,Donne moi de l'eau,Je m'appelle.,0.223
121,Dama feebar,Je suis malade,"La traduction de ""Dama feebar"" en français est : ""Je suis fatigué(e)"".",0.547
122,Maa ngi dem marse,Je pars au marché,Je vais partir demain.,0.460
123,Loy def ?,Tu fais quoi ?,Qu'est-ce que c'est ?,0.421
124,Dama jaxasoo,Je suis confus,Je m'appelle,0.100
125,Maa ngi ci buro bi,Je suis au bureau,"La traduction de ""Maa ngi ci buro bi"" en français est : ""Je suis dans un endroit sombre"" ou plus littéralement ""Je suis dans une nuit"". Cependant, dans un contexte plus culturel et idiomatique, cela peut signifier ""Je suis dans l'ignorance"" ou ""Je suis perdu"", car ""buro"" est souvent utilisé pour décrire l'obscurité physique ou métaphorique.",0.571
126,Dama sedd,J'ai froid,"Le mot ""Dama sedd"" se traduit par ""Je m'appelle"" en français.",0.359
127,Dama tàng,J'ai chaud,La paix soit avec toi (ou vous).,0.378
128,Dafa tàng,Il fait chaud,Je m'appelle,0.212
129,Dafa sedd,Il fait froid,"Dafa signifie ""je"" et sedd signifie ""manger"". La traduction serait donc : ""Je mange"".",0.382
130,Mu ngi taw,Il pleut,Je ne sais pas,0.267
131,Jamonoy taw la!,C'est la saison des pluies!,"C'est bien ! Je vais traduire cette phrase du Wolof vers le Français :

Jamonoy taw la signifie : ""Je suis arrivé avec joie !"" ou plus simplement : ""Je suis heureux d'être arrivé !""",0.587
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Voici la traduction : ""Quand le climat change, les animaux aussi changent de comportement"".",0.399
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les mendiants de Dakar mangent des déchets parce que la faim est mauvaise.,0.576
134,Danu wara wut pexe,Nous devons trouver un plan,Je suis allé au marché.,0.347
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,"Je suis prêt à te aider pour la traduction de cette phrase en wolof vers le français. 

La traduction de ""Dama beug yengou ci mbay mi"" en français est : ""Je veux te parler de mon problème"".",0.423
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,La personne qui est venue hier est partie.,0.473
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,Je suis fatigué comme X.,0.565
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Comment vas-tu aujourd'hui ?,0.420
