No,Wolof,Français,Traduction,Score_Final
27,Jéggël ma,Excusez-moi,Attrapez-moi / Saisissez-moi.,0.482
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Comment vas-tu / Comment ça va ?,0.310
29,Dégg nga ?,Comprenez-vous ?,As-tu entendu ? / Avez-vous entendu ?,0.450
30,Dégg naa,Je comprends,Fort bien,0.315
31,Dégguma,Je ne comprends pas,"""Je viens"" ou ""Je suis en train de venir.""",0.383
32,Nanga tudd ?,Quel est ton nom ?,Qu'est-ce que tu fais ?,0.440
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,Comment vas-tu ?,0.432
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,Que fait Sandaga là-bas ?,0.629
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,"""Quel est votre bien ?"" ou ""Qu'est-ce qui vous fait du bien ?""",0.353
36,Neexoon na,C'était bon,C'était délicieux.,0.550
37,Mi ngi ci jàmm,Il/Elle va bien,Je suis en paix.,0.316
38,Ñaata lay jar ?,Combien ça coûte ?,Tu dors depuis quand ?,0.275
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,Combien coûte celui-ci ?,0.600
40,Seer na lool,C'est très cher,Il a pleuré beaucoup.,0.387
41,Wagniil mako,Diminue moi ça,Il lève les yeux.,0.264
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Combien ça coûte ?,0.343
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Comment vas-tu ?,0.413
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,Barki a acheté une nouvelle maison.,0.480
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,Je suis en train de préparer ton repas.,0.582
46,Dama nékone daara dja,J'étais à l'école,La vache est entrée dans l'école.,0.528
47,Damay saakou xam-xam,Je suis à la quête de connaissance,"""Damay saakou xam-xam"" se traduit en français comme ""Il/Elle travaille vite vite."" Cette phrase signifie que la personne travaille très rapidement ou avec beaucoup d'énergie.",0.389
48,Nianal ma !,Prie pour moi !,"""Regarde-moi !""",0.362
49,Témérri Diouni,Cent milles,La pluie a cessé.,0.416
50,Damala beug,Je t'aime,"""Damala beug"" est une phrase en wolof qui traduz à ""Amour sincère"" ou ""Amour véritable"" en français.",0.317
51,Dama gueuméntou,J'ai sommeil,Le gouvernement est corrompu.,0.244
52,Dama beug nelaw,Je veux dormir,"""La patience est une vertu.""",0.430
53,Fane nga dieum ni ?,Où vas-tu ?,Comment vas-tu ?,0.628
54,Nélaww gua bou baxx ?,as tu bien dormi ?,Comment vas-tu aujourd'hui ?,0.496
55,Testou sansement bant yi,Test des mises à jours des branches,Tes tôt sansement bant yi.,0.529
56,Yalla baxna,ça ira,La paix est avec vous.,0.267
57,fane yi dara doxoul,Rien ne marche ces temps-ci,"""fane yi dara doxoul"" se traduit en français par ""l'enfant a traversé la rivière.""",0.429
58,Dieureudieuf,Merci,"""Dieureudieuf"" signifie ""Merci"" en français. C'est une expression de gratitude en wolof.",0.725
59,Touti,un peu,Problème / Difficulté,0.355
60,Kay,viens,Bien.,0.667
61,Kay Agne,viens manger,"Bonjour Agne (Une salutation courante en Wolof utilisée pour dire ""Bonjour"" ou ""Salut"" à une personne nommée Agne).",0.399
62,Damay touki,je voyage,Je vais venir.,0.380
63,Bokk na,Je participe,Chie bien,0.315
64,Dama beugue diangue.,J'aime les études.,Je vais manger à midi.,0.359
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,Beaucoup de gens sont dans la maison.,0.620
66,Ab paaka la yore.,Il a un couteau sur lui.,La pluie est tombée aujourd'hui.,0.450
67,Dama khiff.,J'ai faim.,Je suis fatigué.,0.531
68,Dama ame ndadjé.,J'ai un rendez-vous.,Le roi est arrivé.,0.397
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,Je suis fatigué.,0.288
70,Awa diangue Kate la.,Awa est un bon élève,Awa est l'amie de Kate.,0.620
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,Ma cuisine est toujours remplie de bonne nourriture.,0.500
72,Beugouma carote.,Je n'aime pas les carottes.,"Bienvenue, les amis.",0.448
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,Le riz et la viande sont cuits avec Médoune.,0.619
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,Sama a donné une pomme à son père.,0.618
75,Dama taxaw!,Je suis debout!,Je me tiens debout !,0.561
76,Beugouma,Je n'aime pas,"""Beugouma"" peut être traduit en français comme ""la douleur ou la souffrance."" Cette expression est souvent utilisée pour décrire une situation ou un état émotionnel où quelqu'un est subissant du mal ou de la peine.",0.306
77,Maa ngi dem,Je m’en vais,Je suis fatigué,0.375
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"""Toute chose est selon la volonté d'Allah.""",0.443
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,Une bonne chaussure te protège de tous dangers.,0.373
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,"""Le matin est calme et paisible""",0.380
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,"""Guy dana juri dég"" en wolof se traduit en français comme ""La maison de Guy est grande"".",0.375
82,Daay fay!,Ca paye!,Paix à toi !,0.492
83,Ko yaab iow!,Tu qui on se moques là,C'est étonnant !,0.239
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Je suis vraiment fatigué aujourd'hui!,0.366
85,Dama taxaw!,Je suis debout!,Bienvenue!,0.247
86,Dama invité sama gel,J'ai invité ma petite copine,Je veux rendre visite à mon ami.,0.552
87,Yomb na,C’est très bon marché,"Arrête (ou ""Arrêtez"" si c'est un commande formelle)",0.489
88,Bare na,C’est trop cher,Son ami,0.267
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"""Tout ce qui arrivera est la volonté d'Allah.""",0.424
90,Degg nga Français,Parlez-vous Français,"""Parlez en français.""",0.812
91,Deedeet jërëjëf,Non merci,Merci beaucoup.,0.614
92,Amul solo,De rien,Il n'y a pas de problème.,0.283
93,Niokobok,Je vous en prie,"""Niokobok"" en Wolof peut se traduire en français par ""Je suis fatigué"" ou ""Je suis épuisé"".",0.370
94,Li lan la,Qu’est-ce que c’est ?,"""Ce matin là""",0.224
95,Dema fe ñëw wakansu,Je suis ici en vacances,Je ne comprends pas le Wolof,0.349
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Le vent vient pour travailler,0.502
97,Demay Xool rek,Je ne fais que regarder,"Demay Xool rek se traduit par ""Je veux juste prendre soin"" en français.",0.465
98,Dama bëgga dem,Je voudrais aller,Je veux y aller.,0.600
99,Ndax mën naa fi luwe,Je voudrais louer,Puis-je m'asseoir ici ?,0.411
100,Neex na torop,C’était délicieux,C'était très bon,0.577
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,"""Qu'est-ce que ça veut dire ?""",0.678
102,Du ma lek yapp,Je suis végétarien,J'ai mangé de la viande.,0.365
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Je veux manger.,0.277
104,Tang na,C’est trop chaud,"Il a marché.  
ou  
Elle a marché.",0.328
105,Sama yaram nangu wu ko,Je suis allergique,Mon corps a besoin de repos.,0.307
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Je suis en train de manger.,0.377
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,Dama veut aller voir le docteur.,0.505
108,Wootel doctor,Appelez un médecin,été médecins,0.573
109,Ana hoppital ?,Où est l’hôpital ?,Y a-t-il un hôpital ?,0.484
110,Dama feebar,Je ne me sens pas très bien,Je suis malade.,0.304
111,Fi moy meeti,J’ai mal ici,Luc est venu,0.356
112,Ana wanak wi ?,Où sont les toilettes ?,Où est l'enfant ?,0.654
113,Wollu !,A l’aide !,Bonjour !,0.100
114,Dema reer,Je suis perdu(e),Il est venu,0.440
115,sama Dom leuh,c'est mon fils,Mon cœur saigne.,0.538
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,"Taa signifie ""père"" en français.",0.225
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,"""Xalaat"" signifie ""Kaalat"" en français. C'est un terme qui peut être utilisé pour exprimer un état de calme ou de tranquillité.",0.314
120,Mayma ndox,Donne moi de l'eau,L'eau est propre.,0.570
121,Dama feebar,Je suis malade,Je suis malade.,1.000
122,Maa ngi dem marse,Je pars au marché,Je vais à Marseille.,0.515
123,Loy def ?,Tu fais quoi ?,Comment ça va ?,0.380
124,Dama jaxasoo,Je suis confus,Je me suis réveillé.,0.623
125,Maa ngi ci buro bi,Je suis au bureau,Je ne vais pas à l'école aujourd'hui.,0.386
126,Dama sedd,J'ai froid,Je suis fatigué.,0.457
127,Dama tàng,J'ai chaud,La chaleur est intense,0.437
128,Dafa tàng,Il fait chaud,La porte est ouverte.,0.292
129,Dafa sedd,Il fait froid,"""Dafa sedd"" en wolof signifie ""C'est la vérité"" ou ""C'est vrai"" en français.",0.381
130,Mu ngi taw,Il pleut,J'ai un problème,0.423
131,Jamonoy taw la!,C'est la saison des pluies!,C'est vraiment fatiguant !,0.627
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"""Le chien a mangé l'os qu'on lui avait donné.""",0.452
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les gardes forestiers sont occupés à surveiller la forêt.,0.569
134,Danu wara wut pexe,Nous devons trouver un plan,L'eau a fini par mouiller les vêtements,0.454
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Je suis épuisé par le travail.,0.337
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,Elle a traversé la rivière avec le bateau.,0.454
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,Il a mangé avec X.,0.529
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Connais-tu mon cousin ?,0.467
