No,Wolof,Français,Traduction,Score_Final
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Qu'est-ce que tu vas manger ?,0.690
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Comment vas-tu ?,0.413
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,Que la chance soit avec ta famille.,0.505
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,Je vais te donner un peu de bonheur.,0.517
46,Dama nékone daara dja,J'étais à l'école,Je vais à l'école.,0.760
47,Damay saakou xam-xam,Je suis à la quête de connaissance,Je fais des efforts pour apprendre.,0.443
48,Nianal ma !,Prie pour moi !,Prends-moi !,0.437
49,Témérri Diouni,Cent milles,"Je ne sais pas si le terme ""Témérri Diouni"" a un sens spécifique en Wolof. Cela pourrait être un nom propre ou une expression qui nécessite plus de contexte pour une traduction précise. Pouvez-vous fournir davantage de détails ou d'exemples ?",0.376
50,Damala beug,Je t'aime,Je suis fatigué.,0.333
51,Dama gueuméntou,J'ai sommeil,Je suis fatigué.,0.467
52,Dama beug nelaw,Je veux dormir,Je suis fatigué.,0.358
53,Fane nga dieum ni ?,Où vas-tu ?,Que fais-tu ?,0.455
54,Nélaww gua bou baxx ?,as tu bien dormi ?,Avez-vous du travail à faire ?,0.475
55,Testou sansement bant yi,Test des mises à jours des branches,Il teste les remèdes.,0.471
56,Yalla baxna,ça ira,Dieu est bon.,0.267
57,fane yi dara doxoul,Rien ne marche ces temps-ci,Les journées ne sont pas les mêmes.,0.564
58,Dieureudieuf,Merci,Merci.,1.000
59,Touti,un peu,"Touti se traduit par ""Tout"" en français.",0.320
60,Kay,viens,À la maison.,0.455
61,Kay Agne,viens manger,Agne est un oiseau.,0.518
62,Damay touki,je voyage,Je suis fatigué.,0.315
63,Bokk na,Je participe,Il est inclus.,0.287
64,Dama beugue diangue.,J'aime les études.,Je suis fatigué.,0.457
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,Il y a beaucoup de gens dans la maison.,1.000
66,Ab paaka la yore.,Il a un couteau sur lui.,C'est un bon choix.,0.343
67,Dama khiff.,J'ai faim.,Je suis fatigué.,0.531
68,Dama ame ndadjé.,J'ai un rendez-vous.,J'ai un problème.,0.628
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,Je n'ai pas de souci.,0.544
70,Awa diangue Kate la.,Awa est un bon élève,Awa est la mère de Kate.,0.628
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,Mon père a des vaches qui paissent.,0.497
72,Beugouma carote.,Je n'aime pas les carottes.,Je vais manger des carottes.,0.670
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,"Aujourd'hui, je suis avec Médoune.",0.667
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,Ma mère fait de la compote de pommes.,0.780
75,Dama taxaw!,Je suis debout!,Je suis debout !,1.000
76,Beugouma,Je n'aime pas,"Je ne peux pas fournir de traduction pour ""Beugouma"" car il s'agit d'un nom propre ou d'un terme qui ne semble pas avoir de signification directement traduisible en français. Si vous avez d'autres phrases ou termes à traduire, n'hésitez pas à les partager !",0.563
77,Maa ngi dem,Je m’en vais,Je m'en vais.,1.000
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"À une prochaine fois, si Dieu le veut.",0.788
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,Le maître de la maison est celui qui détient la clé.,0.470
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,Le menteur n'a pas de sommeil.,0.413
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,Guy a dit que c'est bon.,0.498
82,Daay fay!,Ca paye!,C'est bon !,0.404
83,Ko yaab iow!,Tu qui on se moques là,C'est très bon !,0.335
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Tu as une belle voix !,0.364
85,Dama taxaw!,Je suis debout!,Je suis réveillé !,0.620
86,Dama invité sama gel,J'ai invité ma petite copine,J'ai invité ma copine.,0.767
87,Yomb na,C’est très bon marché,C'est ennuyeux.,0.386
88,Bare na,C’est trop cher,Il y en a beaucoup.,0.356
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"À une prochaine fois, si Dieu le veut.",0.788
90,Degg nga Français,Parlez-vous Français,Tu as entendu le Français ?,0.600
91,Deedeet jërëjëf,Non merci,"Non, merci.",1.000
92,Amul solo,De rien,Il n'y a pas de souci.,0.283
93,Niokobok,Je vous en prie,"Niokobok signifie ""Je vais bien"" en français.",0.390
94,Li lan la,Qu’est-ce que c’est ?,C'est une bonne chose.,0.627
95,Dema fe ñëw wakansu,Je suis ici en vacances,Je vais passer de bonnes vacances.,0.567
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Je reviens pour travailler.,0.415
97,Demay Xool rek,Je ne fais que regarder,Je ne fais que regarder.,1.000
98,Dama bëgga dem,Je voudrais aller,Je veux y aller.,0.600
99,Ndax mën naa fi luwe,Je voudrais louer,Puis-je y aller?,0.493
100,Neex na torop,C’était délicieux,C'est très bon.,0.381
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Que veut dire ?,0.547
102,Du ma lek yapp,Je suis végétarien,Je ne peux pas manger de la nourriture.,0.285
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Je veux cela.,0.304
104,Tang na,C’est trop chaud,C'est bon.,0.485
105,Sama yaram nangu wu ko,Je suis allergique,Mon corps l'accepte.,0.328
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Je veux de l'eau.,0.454
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,Je veux voir le docteur.,0.495
108,Wootel doctor,Appelez un médecin,Médecin vétérinaire.,0.628
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,Je suis fatigué.,0.217
111,Fi moy meeti,J’ai mal ici,"Ici, c'est le bon endroit.",0.461
112,Ana wanak wi ?,Où sont les toilettes ?,Où est le soleil ?,0.660
113,Wollu !,A l’aide !,Bonjour !,0.100
114,Dema reer,Je suis perdu(e),Je suis fatigué.,0.620
115,sama Dom leuh,c'est mon fils,mon fils,0.658
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,"Taax signifie ""travail"" en français.",0.237
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Rêve,0.340
120,Mayma ndox,Donne moi de l'eau,Je vais chercher de l'eau.,0.552
121,Dama feebar,Je suis malade,Je suis fatigué.,0.604
122,Maa ngi dem marse,Je pars au marché,Je vais à Marseille.,0.515
123,Loy def ?,Tu fais quoi ?,Que fais-tu ?,0.680
124,Dama jaxasoo,Je suis confus,Je suis en train de discuter.,0.623
125,Maa ngi ci buro bi,Je suis au bureau,Je suis dans la chambre.,0.712
126,Dama sedd,J'ai froid,Je suis fatigué.,0.457
127,Dama tàng,J'ai chaud,Je suis fatigué.,0.457
128,Dafa tàng,Il fait chaud,Elle est belle.,0.300
129,Dafa sedd,Il fait froid,Il est propre.,0.427
130,Mu ngi taw,Il pleut,Je suis là.,0.300
131,Jamonoy taw la!,C'est la saison des pluies!,C'est là que ça se passe !,0.542
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Après la pluie, le temps est agréable.",0.737
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les bâtards de Dakar sont des ordures à cause du vent.,0.744
134,Danu wara wut pexe,Nous devons trouver un plan,Nous devons parler d'argent.,0.634
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Je sens une douleur dans le ventre.,0.521
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,Il doit aller à la chaumière.,0.347
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,Il a explosé avec X.,0.575
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Es-tu d'accord avec mon ami ?,0.585
