No,Wolof,Français,Traduction,Score_Final
27,Jéggël ma,Excusez-moi,"Excusez-moi, malheureusement sans plus de contexte je ne peux pas déterminer avec certitude si cette phrase est en wolof. ""Jéggël ma"" ne me semble pas être une expression wolof, ou alors je ne la connais pas. Je ne peux donc pas vous fournir de traduction en français dans ce cas-ci. Désolé, n'hésitez pas si vous avez d'autres phrases à traduire du wolof vers le français.",0.704
28,Ndax dégg nga angale ?,Parlez-vous anglais ?,Où est-ce que tu habites ?,0.374
29,Dégg nga ?,Comprenez-vous ?,Ca va ?,0.193
30,Dégg naa,Je comprends,Donnez-moi.,0.356
31,Dégguma,Je ne comprends pas,Bonsoir,0.224
32,Nanga tudd ?,Quel est ton nom ?,Quelle heure est-il ?,0.465
33,Jàmm nga fanaane ?,Comment s'est passée votre soirée ?,Comment allez-vous ?,0.398
34,Fii ba Sandaga ñaata ?,Combien ça fait d'ici à Sandaga ?,Tu vas à Sandaga acheter ou vendre quelque chose ?,0.498
35,Fan mooy seen wanaag ?,Où sont les toilettes ?,"Je vais bien, merci.",0.330
36,Neexoon na,C'était bon,J'arrive tout de suite.,0.373
37,Mi ngi ci jàmm,Il/Elle va bien,Ca va chez toi?,0.502
38,Ñaata lay jar ?,Combien ça coûte ?,Je ne suis pas sûr.,0.278
39,Ñaata ngay jaaye bii ?,Tu vends ça combien ?,Où es-tu allé hier ?,0.383
40,Seer na lool,C'est très cher,Mon nom est Oumar.,0.483
41,Wagniil mako,Diminue moi ça,"Bien sûr, voici la traduction en français :

Wagniil mako : Je suis d'accord

""Wagniil"" signifie ""accord"" ou ""d'accord"" et ""mako"" signifie ""je suis"". Donc littéralement, cela donne ""Je suis d'accord"".

N'hésitez pas si vous avez d'autres phrases à traduire du wolof vers le français, je serais ravi d'y répondre du mieux possible.",0.386
42,Lougnouy lekk ?,Qu'est ce qu'on mange ?,Comment allez-vous ?,0.374
43,Naka nga yendo ?,Comment s'est passée ta journée ?,Où vas-tu ?,0.295
44,Barki démb diaronne na sa keur,Avant-hier j'étais passé chez toi,Je pars m'asseoir un moment à la maison,0.452
45,Dama nieuwone indil leu sa khaliss,J'étais venu t'apporter ton argent,Qui ne risque rien n'a rien.,0.466
46,Dama nékone daara dja,J'étais à l'école,L'éducation est la base de tout.,0.415
47,Damay saakou xam-xam,Je suis à la quête de connaissance,C'est un problème très sérieux.,0.345
48,Nianal ma !,Prie pour moi !,Fais attention !,0.387
49,Témérri Diouni,Cent milles,Tout le monde travaille.,0.407
50,Damala beug,Je t'aime,Veuillez vous asseoir.,0.333
51,Dama gueuméntou,J'ai sommeil,C'est très bien comme ça.,0.433
52,Dama beug nelaw,Je veux dormir,Je dois y aller maintenant.,0.388
53,Fane nga dieum ni ?,Où vas-tu ?,"Comment vous appelez-vous ?
(Assuming this is a common greeting asking for someone's name.)",0.335
54,Nélaww gua bou baxx ?,as tu bien dormi ?,Comment allez-vous aujourd'hui ?,0.447
55,Testou sansement bant yi,Test des mises à jours des branches,Je marche tranquillement avec eux.,0.466
56,Yalla baxna,ça ira,Allons-y (on y va) !,0.330
57,fane yi dara doxoul,Rien ne marche ces temps-ci,Discutez-en avec vos amis.,0.420
58,Dieureudieuf,Merci,Merci beaucoup.,0.800
59,Touti,un peu,Bonjour.,0.340
60,Kay,viens,Quoi,0.356
61,Kay Agne,viens manger,Je m'appelle Agne,0.488
62,Damay touki,je voyage,Fais ce que tu dis.,0.222
63,Bokk na,Je participe,"Bien sûr, je peux vous aider à traduire du Wolof vers le Français. N'hésitez pas à me donner la phrase ou le texte en Wolof que vous souhaitez traduire, je m'en occuperai avec plaisir.",0.289
64,Dama beugue diangue.,J'aime les études.,Je suis en retard.,0.418
65,Nit ñu baree ngi ci kër gi.,Il y a beaucoup de gens dans la maison.,Veuillez patienter un moment dans la pièce.,0.349
66,Ab paaka la yore.,Il a un couteau sur lui.,C'est une poignée de porte cassée.,0.380
67,Dama khiff.,J'ai faim.,Pas de problème.,0.417
68,Dama ame ndadjé.,J'ai un rendez-vous.,"Bien sûr, voici la traduction en français :

Dama ame ndadjé.
C'est une bonne idée.
 
Cette phrase signifie littéralement ""C'est une belle chose"", mais dans ce contexte, elle est utilisée pour exprimer que quelque chose est une bonne idée ou une bonne suggestion.",0.330
69,Ndekki wouma.,Je n'ai pas pris mon petit-déjeuner.,Je suis d'accord.,0.286
70,Awa diangue Kate la.,Awa est un bon élève,Awa a quitté Kate.,0.464
71,Sama mak bou djiguène daye toggou agne.,Ma grande sœur prépare le repas.,Partons pour l'itinéraire du pèlerinage à la Mecque ce midi.,0.460
72,Beugouma carote.,Je n'aime pas les carottes.,"Voici la traduction en français:
""Beugouma carote.""
Le sens est le suivant : ""Le lapin bondit.""
Beugouma signifie lapin en wolof.",0.435
73,Legui mangui diangue ak Médoune.,Maintenant j'apprends avec Médoune.,Le chien se bat avec le chat.,0.498
74,Sama yaye dafa beugue pomme.,Ma mère aimes les pommes.,La pomme est tombée du couteau.,0.574
75,Dama taxaw!,Je suis debout!,Bien sûr !,0.370
76,Beugouma,Je n'aime pas,Accident.,0.217
77,Maa ngi dem,Je m’en vais,Je vais bien.,0.750
78,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"Ce soir, s'il plaît à Dieu",0.572
79,Boroom ndékki ku ko jëkka yeewu tëddaat,Celui qui se lève avant le responsable du petit déjeuner peut aller se recoucher,"Aussitôt que vous êtes entré, votre comportement a changé.",0.403
80,Ganaar du am faru siiru,La poule ne doit pas avoir pour fiancer un chat sauvage,"Allons-y, commençons cette activité.",0.344
81,Guy dana juri dég,Il arrive qu’un baobab ait des épines,Aidez-moi s'il vous plaît.,0.330
82,Daay fay!,Ca paye!,Bonjour à tous !,0.200
83,Ko yaab iow!,Tu qui on se moques là,Viens ici !,0.258
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Je ne comprends rien du tout !,0.365
85,Dama taxaw!,Je suis debout!,Fais attention !,0.468
86,Dama invité sama gel,J'ai invité ma petite copine,L'hôte servait le repas aux invités,0.493
87,Yomb na,C’est très bon marché,Aujourd'hui,0.168
88,Bare na,C’est trop cher,Cela fait plaisir de vous rencontrer.,0.450
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"A demain inch Allah.
(Ce qui veut dire : À demain si Dieu le veut.)",0.707
90,Degg nga Français,Parlez-vous Français,Deggou. (Oui absolument.),0.342
91,Deedeet jërëjëf,Non merci,C'est comme ça et c'est tout.,0.340
92,Amul solo,De rien,Gardez votre calme.,0.378
93,Niokobok,Je vous en prie,Je comprends.,0.523
94,Li lan la,Qu’est-ce que c’est ?,C'est vrai cela.,0.627
95,Dema fe ñëw wakansu,Je suis ici en vacances,Dites-moi ce que vous voulez.,0.429
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Montre-le-moi s'il te plaît.,0.454
97,Demay Xool rek,Je ne fais que regarder,"Aujourd'hui, une seule nouvelle",0.416
98,Dama bëgga dem,Je voudrais aller,"S'il te plaît, ferme la porte.",0.328
99,Ndax mën naa fi luwe,Je voudrais louer,Je m'appelleése apareicise owners,0.474
100,Neex na torop,C’était délicieux,Le chat est brun.,0.332
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Allons-nous bien ?,0.296
102,Du ma lek yapp,Je suis végétarien,Je vais bien.,0.525
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Je ne t'ai pas vu.,0.529
104,Tang na,C’est trop chaud,Aujourd'hui.,0.193
105,Sama yaram nangu wu ko,Je suis allergique,C'est la même chose que moi je le fais,0.403
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Je suis chez moi et je vais bien.,0.451
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,J'ai besoin de voir un docteur de toute urgence.,0.739
108,Wootel doctor,Appelez un médecin,C'est un médecin étranger.,0.577
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,Je nettoie la voiture.,0.251
111,Fi moy meeti,J’ai mal ici,Je suis très affamé.,0.385
112,Ana wanak wi ?,Où sont les toilettes ?,Comment allez-vous ?,0.390
113,Wollu !,A l’aide !,Oui !,0.188
114,Dema reer,Je suis perdu(e),Demain les sœurs,0.497
115,sama Dom leuh,c'est mon fils,C'est dommage.,0.472
116,Yàlla,Dieu,Dieu.,1.000
117,Taax,Bâtiment,Bonsoir.,0.387
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Gâche-tout.,0.293
120,Mayma ndox,Donne moi de l'eau,Demain matin,0.428
121,Dama feebar,Je suis malade,Tenez bon.,0.264
122,Maa ngi dem marse,Je pars au marché,Tu me manques beaucoup.,0.368
123,Loy def ?,Tu fais quoi ?,Ça va ?,0.217
124,Dama jaxasoo,Je suis confus,"Bien sûr, voici la traduction :

Dama jaxasoo.

En Wolof, ""Dama jaxasoo"" veut dire ""Il fait soleil"" ou ""Il y a du soleil"".",0.296
125,Maa ngi ci buro bi,Je suis au bureau,Voici votre rapport.,0.338
126,Dama sedd,J'ai froid,Demain matin.,0.445
127,Dama tàng,J'ai chaud,C'est tout pour le moment,0.211
128,Dafa tàng,Il fait chaud,Tout va bienทัว,0.350
129,Dafa sedd,Il fait froid,Ici c'est calme.,0.321
130,Mu ngi taw,Il pleut,Je m'inquiète pour toi,0.275
131,Jamonoy taw la!,C'est la saison des pluies!,"Ça y est, c'est fini !",0.580
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Ce dont le monde a besoin, c'est plus de compassion.",0.479
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Ces idées ont fait beaucoup de dégâts au fil des ans.,0.541
134,Danu wara wut pexe,Nous devons trouver un plan,"Demain, je vais voyager.",0.510
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Tones ça ira pour aujourd'hui.,0.379
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,Je l'ai vu hier au magasin.,0.350
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,Entraîne-toi avec du tofu et du lactosérums.,0.382
138,Diote nga sama yobanté ?, Tu as eu mon message ?,"Dites-moi s'il vous plaît, comment allez-vous ?",0.414
