No,Wolof,Français,Traduction,Score_Final
86,Dama invité sama gel,J'ai invité ma petite copine,"La traduction du wolof en français est : "" Que Dieu aide nos invités "".",0.485
87,Yomb na,C’est très bon marché,Bonjour à toi,0.332
88,Bare na,C’est trop cher,"Bare na signifie ""demain"" en wolof. La traduction en français est donc : demain.",0.427
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,Que Dieu nous aide,0.497
90,Degg nga Français,Parlez-vous Français,Bonjour en français,0.632
91,Deedeet jërëjëf,Non merci,Fortune aux gens intelligents.,0.316
92,Amul solo,De rien,Bonjour à toi,0.300
93,Niokobok,Je vous en prie,Je vous salue,0.356
94,Li lan la,Qu’est-ce que c’est ?,Prends-les tout,0.357
95,Dema fe ñëw wakansu,Je suis ici en vacances,C'est une belle journée aujourd'hui,0.400
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,"Je vais bien, et toi?",0.522
97,Demay Xool rek,Je ne fais que regarder,"La traduction de ""Demay Xool rek"" en français est ""Prenez soin de votre santé"".",0.417
98,Dama bëgga dem,Je voudrais aller,Je ne suis pas allé à la maison,0.488
99,Ndax mën naa fi luwe,Je voudrais louer,"Alors, qu'est-ce que je fais ici?",0.465
100,Neex na torop,C’était délicieux,"""Je m'appelle Torop""",0.346
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Quel âge as-tu?,0.490
102,Du ma lek yapp,Je suis végétarien,"Cela signifie ""Fais attention à toi"" en français.",0.358
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),La faim me tue,0.363
104,Tang na,C’est trop chaud,C'est bon / C'est bien,0.502
105,Sama yaram nangu wu ko,Je suis allergique,Ce que vous dites n'est pas clair.,0.342
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Je ne sais pas où je vais,0.307
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,J'irai voir le docteur.,0.576
108,Wootel doctor,Appelez un médecin,Je vais aller voir le docteur.,0.375
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital?,1.000
110,Dama feebar,Je ne me sens pas très bien,Bonne nuit,0.277
111,Fi moy meeti,J’ai mal ici,Ce que vous dites est vrai,0.417
112,Ana wanak wi ?,Où sont les toilettes ?,Quel âge as-tu?,0.356
113,Wollu !,A l’aide !,Bonjour!,0.100
114,Dema reer,Je suis perdu(e),Bonjour aux hommes,0.328
115,sama Dom leuh,c'est mon fils,"Voici la traduction : ""Je m'appelle Dom"" ou ""Je suis Dom""",0.361
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,Bien,0.667
118,Keur,Maison,Village,0.308
119,Xalaat,Penser,Bonjour,0.415
120,Mayma ndox,Donne moi de l'eau,Bonjour à toi!,0.409
121,Dama feebar,Je suis malade,Bonne nuit,0.439
122,Maa ngi dem marse,Je pars au marché,Je m'appelle Marse.,0.624
123,Loy def ?,Tu fais quoi ?,Qu'est-ce que c'est ?,0.421
124,Dama jaxasoo,Je suis confus,Je mange du riz,0.364
125,Maa ngi ci buro bi,Je suis au bureau,"Je mange du riz heute (Aujourd'hui, je mange du riz)",0.298
126,Dama sedd,J'ai froid,Bonsoir.,0.287
127,Dama tàng,J'ai chaud,Bonjour à toi,0.375
128,Dafa tàng,Il fait chaud,Je suis parti,0.433
129,Dafa sedd,Il fait froid,Je partirai,0.324
130,Mu ngi taw,Il pleut,"Je ne comprends pas. 

(Pourriez-vous répéter ou donner plus de contexte ?)",0.492
131,Jamonoy taw la!,C'est la saison des pluies!,Bonjour à toi!,0.324
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Voici la traduction de ""Ginaaw taw bi klimaa bi dafay neex"" :

Demain, je vais aller faire une promenade à la plage.",0.382
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les gens de Dakar ont faim parce que le pain est rare.,0.576
134,Danu wara wut pexe,Nous devons trouver un plan,L'eau a noyé le poisson.,0.381
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,"La traduction de ""Dama beug yengou ci mbay mi"" en français est : ""Je n'ai pas trouvé de travail aujourd'hui"".",0.308
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,J'ai acheté un vélo neuf hier,0.451
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,Je m'appelle X.,0.326
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Comment vas-tu aujourd'hui?,0.420
