No,Wolof,Français,Traduction,Score_Final
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Traduction : Nous avions rendez-vous hier !,0.322
85,Dama taxaw!,Je suis debout!,Je suis debout !,1.000
86,Dama invité sama gel,J'ai invité ma petite copine,Je suis invité chez ma belle-famille.,0.639
87,Yomb na,C’est très bon marché,C'est facile,0.377
88,Bare na,C’est trop cher,Traduction : Ça suffit,0.360
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,Traduction : À la prochaine si Dieu le veut,0.788
90,Degg nga Français,Parlez-vous Français,Traduction : Tu comprends le Français,0.631
91,Deedeet jërëjëf,Non merci,Non merci,1.000
92,Amul solo,De rien,"Traduction : ""Ça n'a pas d'importance"" ou ""Ce n'est pas grave""",0.340
93,Niokobok,Je vous en prie,Merci beaucoup (ou Je vous en prie),0.767
94,Li lan la,Qu’est-ce que c’est ?,Traduction : Qu'est-ce que c'est ?,0.850
95,Dema fe ñëw wakansu,Je suis ici en vacances,Traduction : Je vais venir en vacances,0.567
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Je suis venu pour travailler.,0.692
97,Demay Xool rek,Je ne fais que regarder,Je regarde juste.,0.440
98,Dama bëgga dem,Je voudrais aller,Je veux partir,0.444
99,Ndax mën naa fi luwe,Je voudrais louer,Traduction : Est-ce que je peux fumer ici ?,0.393
100,Neex na torop,C’était délicieux,C'est très délicieux,0.623
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Que me conseilles-tu ?,0.666
102,Du ma lek yapp,Je suis végétarien,Je ne mange pas de viande.,0.331
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Je n'aime pas le piment.,0.586
104,Tang na,C’est trop chaud,Il fait chaud (C'est chaud),0.675
105,Sama yaram nangu wu ko,Je suis allergique,Traduction : Je ne me sens pas bien.,0.312
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Traduction : Donne-moi de l'eau à boire,0.754
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,Je veux voir un médecin,0.631
108,Wootel doctor,Appelez un médecin,Appelle le médecin,0.850
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,Je suis malade.,0.304
111,Fi moy meeti,J’ai mal ici,C'est ici que ça fait mal.,0.720
112,Ana wanak wi ?,Où sont les toilettes ?,Où est l'arachide grillée ?,0.604
113,Wollu !,A l’aide !,Bonjour !,0.100
114,Dema reer,Je suis perdu(e),Je suis allé dîner,0.611
115,sama Dom leuh,c'est mon fils,Traduction : Mon enfant est parti.,0.620
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,Immeuble,0.462
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Penser,1.000
120,Mayma ndox,Donne moi de l'eau,Donne-moi de l'eau,0.673
121,Dama feebar,Je suis malade,Je suis malade.,1.000
122,Maa ngi dem marse,Je pars au marché,Je vais au marché.,0.725
123,Loy def ?,Tu fais quoi ?,Comment vas-tu ?,0.433
124,Dama jaxasoo,Je suis confus,Je suis perturbé(e),0.690
125,Maa ngi ci buro bi,Je suis au bureau,Je suis au bureau.,1.000
126,Dama sedd,J'ai froid,J'ai froid,1.000
127,Dama tàng,J'ai chaud,J'ai de la fièvre.,0.637
128,Dafa tàng,Il fait chaud,Il fait chaud,1.000
129,Dafa sedd,Il fait froid,Il fait froid,1.000
130,Mu ngi taw,Il pleut,Il pleut,1.000
131,Jamonoy taw la!,C'est la saison des pluies!,C'est le début de la saison des pluies !,0.850
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Traduction : Après la pluie, le climat est agréable.",0.619
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Traduction : Les rues de Dakar sont inondées à cause de la pluie,0.871
134,Danu wara wut pexe,Nous devons trouver un plan,Traduction : Nous devons chercher une solution.,0.543
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Traduction : Je veux me lancer dans l'agriculture.,0.650
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,Traduction : Il/Elle est censé(e) aller au mariage.,0.496
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,"Aujourd'hui, j'ai rompu avec X",0.749
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Traduction : As-tu reçu mon message ?,0.743
